Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3492838,NCD_BMI_18A,COUNTRY,URY,AMR,Americas,YEAR,1999,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.8 [2.2-6.1],3.84554,2.16468,6.07348,,2024-02-29T16:06:41Z,1999,01-01-1999,31-12-1999
3492863,NCD_BMI_18A,COUNTRY,COK,WPR,Western Pacific,YEAR,1990,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.0 [0.4-1.8],0.96329,0.41078,1.78838,,2024-02-29T16:06:41Z,1990,01-01-1990,31-12-1990
3493128,NCD_BMI_18A,COUNTRY,CAF,AFR,Africa,YEAR,2008,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,24.8 [19.2-30.8],24.81147,19.20021,30.80014,,2024-02-29T16:06:41Z,2008,01-01-2008,31-12-2008
3493869,NCD_BMI_18A,COUNTRY,CIV,AFR,Africa,YEAR,2013,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,9.1 [5.4-13.7],9.05326,5.37,13.68956,,2024-02-29T16:06:41Z,2013,01-01-2013,31-12-2013
3493912,NCD_BMI_18A,COUNTRY,MUS,AFR,Africa,YEAR,2012,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.9 [4.2-7.6],5.87597,4.23107,7.64199,,2024-02-29T16:06:41Z,2012,01-01-2012,31-12-2012
3493992,NCD_BMI_18A,COUNTRY,CAF,AFR,Africa,YEAR,1990,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,27.6 [18.6-36.4],27.55656,18.64176,36.43014,,2024-02-29T16:06:41Z,1990,01-01-1990,31-12-1990
3494076,NCD_BMI_18A,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2002,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,15.4 [11.0-20.5],15.42596,10.95453,20.52756,,2024-02-29T16:06:41Z,2002,01-01-2002,31-12-2002
3494217,NCD_BMI_18A,COUNTRY,CRI,AMR,Americas,YEAR,1995,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.2 [2.8-5.9],4.17285,2.79644,5.92699,,2024-02-29T16:06:41Z,1995,01-01-1995,31-12-1995
3494868,NCD_BMI_18A,COUNTRY,VUT,WPR,Western Pacific,YEAR,2009,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.4 [2.8-6.2],4.36279,2.81662,6.16703,,2024-02-29T16:06:41Z,2009,01-01-2009,31-12-2009
3495815,NCD_BMI_18A,COUNTRY,IRL,EUR,Europe,YEAR,2008,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.1 [0.8-1.4],1.07109,0.81067,1.37266,,2024-02-29T16:06:41Z,2008,01-01-2008,31-12-2008
3496355,NCD_BMI_18A,COUNTRY,BLR,EUR,Europe,YEAR,1998,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.0 [0.8-4.1],2.01046,0.75193,4.12378,,2024-02-29T16:06:41Z,1998,01-01-1998,31-12-1998
3496451,NCD_BMI_18A,COUNTRY,BFA,AFR,Africa,YEAR,1999,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,16.6 [14.3-18.9],16.57189,14.34113,18.9084,,2024-02-29T16:06:41Z,1999,01-01-1999,31-12-1999
3496881,NCD_BMI_18A,COUNTRY,FRA,EUR,Europe,YEAR,1998,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.8 [1.2-2.6],1.8205,1.19599,2.60166,,2024-02-29T16:06:41Z,1998,01-01-1998,31-12-1998
3497254,NCD_BMI_18A,COUNTRY,MNE,EUR,Europe,YEAR,2001,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.8 [1.5-4.7],2.81645,1.51485,4.68755,,2024-02-29T16:06:41Z,2001,01-01-2001,31-12-2001
3497668,NCD_BMI_18A,COUNTRY,HND,AMR,Americas,YEAR,2005,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.3 [2.2-5.0],3.34851,2.21968,4.98026,,2024-02-29T16:06:41Z,2005,01-01-2005,31-12-2005
3498470,NCD_BMI_18A,COUNTRY,BHS,AMR,Americas,YEAR,2009,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.8 [2.1-6.2],3.80657,2.08042,6.1616,,2024-02-29T16:06:41Z,2009,01-01-2009,31-12-2009
3498989,NCD_BMI_18A,REGION,AFR,,,YEAR,2017,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,12.0 [11.4-12.6],11.96188,11.3718,12.57955,,2024-02-29T16:06:41Z,2017,01-01-2017,31-12-2017
3499217,NCD_BMI_18A,COUNTRY,ARM,EUR,Europe,YEAR,2001,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.7 [1.4-4.4],2.66785,1.39813,4.43642,,2024-02-29T16:06:41Z,2001,01-01-2001,31-12-2001
3499231,NCD_BMI_18A,COUNTRY,MKD,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.5 [1.7-8.9],4.52249,1.71912,8.89515,,2024-02-29T16:06:41Z,2019,01-01-2019,31-12-2019
3499410,NCD_BMI_18A,COUNTRY,USA,AMR,Americas,YEAR,2009,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.8 [1.6-2.0],1.79101,1.59301,2.00285,,2024-02-29T16:06:41Z,2009,01-01-2009,31-12-2009
3499501,NCD_BMI_18A,COUNTRY,PLW,WPR,Western Pacific,YEAR,2021,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.8 [0.7-3.2],1.75719,0.74494,3.24998,,2024-02-29T16:06:41Z,2021,01-01-2021,31-12-2021
3500078,NCD_BMI_18A,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,1995,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.8 [1.8-4.2],2.84223,1.81195,4.155,,2024-02-29T16:06:41Z,1995,01-01-1995,31-12-1995
3500168,NCD_BMI_18A,COUNTRY,BRN,WPR,Western Pacific,YEAR,2012,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.0 [4.7-7.5],6.00135,4.6555,7.53794,,2024-02-29T16:06:41Z,2012,01-01-2012,31-12-2012
3500471,NCD_BMI_18A,COUNTRY,NLD,EUR,Europe,YEAR,1999,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.3 [0.9-1.9],1.30511,0.85198,1.85871,,2024-02-29T16:06:41Z,1999,01-01-1999,31-12-1999
3500610,NCD_BMI_18A,COUNTRY,DZA,AFR,Africa,YEAR,2009,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.1 [4.9-7.4],6.0837,4.85348,7.41591,,2024-02-29T16:06:41Z,2009,01-01-2009,31-12-2009
3500663,NCD_BMI_18A,COUNTRY,TON,WPR,Western Pacific,YEAR,1998,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.4 [0.2-0.9],0.43285,0.17422,0.85778,,2024-02-29T16:06:41Z,1998,01-01-1998,31-12-1998
